AtomicNumber,Element,Symbol,AtomicWeight,Period,Group,StandardState,MostStableCrystal,Type,IonicRadius,AtomicRadius,Electronegativity,FirstIonizationPotential,OxidationStates,Density,MeltingPointKelvin,BoilingPointKelvin,Isotopes,Discoverer,YearOfDiscovery,SpecificHeatCapacity,ElectronConfiguration,DisplayRow,DisplayColumn,Facts
71,Lutetium,Lu,174.9668,6,32,Solid,hex,Lanthanide,0.85,2.3,1.27,5.4259,3,9.84,1936.15,3675,22,"Georges Urbain, Charles James",1907,0.154,[Xe]6s2 4f14 5d1,8,17,"Lutetium is a rare, dense, silvery-white metal that has several important industrial and medical uses. It is one of the heaviest and least abundant of the rare earth elements. Lutetium is primarily used in the production of catalysts in petroleum refining, helping to break down crude oil into usable products. It is also used in some types of advanced scintillators, which are materials used in medical imaging devices like PET scanners. Lutetium has applications in the production of high-performance optics, including in some types of camera lenses, and is used in the development of certain lasers. The element was discovered in 1879 by Carl Auer von Welsbach, who named it after the Greek word “Lutetia,” the ancient name for Paris. Lutetium is also used in research into quantum mechanics and in the development of specialized alloys for aerospace applications. Although it is less well-known than other rare earth elements, lutetium’s high density and versatile properties make it an important material for various technologies and industries."
72,Hafnium,Hf,178.49,6,4,Solid,hex,Transition metal,0.71,2.2,1.3,6.8251,4,13.31,2500.15,4876,17,"George de Hevesy, Dirk Coster",1923,0.144,[Xe]6s2 4f14 5d2,6,4,"Hafnium is a transition metal known for its high melting point and excellent corrosion resistance. It is primarily used in nuclear reactors, where it serves as a neutron absorber to control the nuclear reaction. Hafnium’s ability to withstand extreme temperatures also makes it an essential material in the aerospace industry, where it is used in the production of heat shields for spacecraft. Discovered in 1923 by Dirk Coster and George de Hevesy, hafnium was named after the Latin name for Copenhagen, ""Hafnia,"" where it was first isolated. Hafnium is also used in the manufacture of semiconductors, where it is employed in high-k dielectric materials for microelectronics. Its high melting point and strength make it ideal for use in turbine blades and in other high-temperature applications. Hafnium’s properties also make it a key component in certain alloys, including those used in the aerospace and nuclear industries. While it is relatively rare, hafnium plays a crucial role in advanced technologies that require resistance to heat and radiation."
73,Tantalum,Ta,180.94788,6,5,Solid,bcc,Transition metal,0.64,2.1,1.5,7.5496,5,16.654,3269.15,5731,19,Anders Gustaf Ekeberg,1801,0.14,[Xe]6s2 4f14 5d3,6,5,"Tantalum is a dense, blue-gray metal that is highly resistant to corrosion and has a variety of specialized industrial uses. It is commonly used in the production of capacitors and high-performance electronic components, as it can store large amounts of electrical charge in small spaces. Tantalum is also used in the manufacture of aerospace components, including turbine blades and rocket nozzles, due to its ability to withstand high temperatures. Additionally, tantalum is used in the production of surgical implants and medical devices, as it is biocompatible and does not react with body fluids. It is also insoluble in acid. The metal was discovered in 1802 by Anders Ekeberg. Tantalum is also used in the production of superalloys and in the chemical industry for the creation of heat-resistant equipment. Despite being rare and expensive, its resistance to corrosion and ability to withstand extreme conditions make it an essential material in high-tech and industrial applications."
74,Tungsten,W,183.84,6,6,Solid,bcc,Transition metal,0.62,2,2.36,7.864,6,19.25,3680.15,5828,22,"Juan José Elhuyar, Fausto Elhuyar",1783,0.132,[Xe]6s2 4f14 5d4,6,6,"Tungsten, also known as wolfram, is a dense, gray-white metal known for its remarkable strength and high melting point, making it essential in many high-temperature applications. It is widely used in the production of lightbulb filaments, as it can withstand the extreme heat generated by incandescent bulbs. Tungsten is also used in the aerospace industry for the production of rocket nozzles, missile components, and armor-piercing ammunition. Its high density and ability to retain strength at elevated temperatures make it an important material for manufacturing cutting tools, such as drill bits and saw blades. Tungsten was discovered in 1783 by the Swedish chemists Carl Wilhelm Scheele and Torbern Olof Bergman, and it was named after the Swedish word ""tung sten,"" meaning ""heavy stone."" The metal is also used in the production of superconducting materials and in the creation of certain alloys. Due to its strength and resistance to heat, tungsten is critical in a variety of industrial and military applications, including electronics, manufacturing, and defense technologies."
75,Rhenium,Re,186.207,6,7,Solid,hex,Transition metal,0.56,2,1.9,7.8335,"+7, +6, +4",21.02,3453.15,5869,21,"Walter Noddack, Ida Noddack, Otto Berg",1925,0.137,[Xe]6s2 4f14 5d5,6,7,"Rhenium is a rare, silvery-white transition metal that is highly resistant to heat and corrosion, making it essential in high-temperature industrial applications. It is primarily used in the production of high-performance alloys, particularly those used in jet engines and gas turbines, where its high melting point and strength are critical. Rhenium is also used as a catalyst in the chemical industry, particularly in the production of high-octane gasoline. Discovered in 1925 by Walter Noddack, Ida Tacke, and Otto Berg, rhenium was named after the Rhine River in Germany. Rhenium is one of the rarest elements in the Earth’s crust, and it is often obtained as a byproduct of molybdenum and copper refining. The metal is also used in the production of electrical contacts and thermocouples, where its resistance to wear and heat makes it valuable in harsh environments. Despite its rarity, rhenium’s high performance in extreme conditions makes it a vital material for aerospace and industrial applications."
76,Osmium,Os,190.23,6,8,Solid,hex,Transition metal,0.63,1.9,2.2,8.4382,"+4, +3",22.61,3300.15,5285,19,Smithson Tennant and William Hyde Wollaston,1803,0.13,[Xe]6s2 4f14 5d6,6,8,"Osmium is a dense, bluish-white metal that is one of the heaviest and rarest naturally occurring elements. Known for its extreme density and hardness, it is used in a variety of niche applications that require these properties, such as in the production of fountain pen nibs, electrical contacts, and in the manufacturing of specialized equipment like high-precision balance weights. Osmium's alloys, particularly with platinum, are also used in making certain types of electrical contacts and spark plugs. The element was discovered in 1803 by Smithson Tennant, who named it after the Greek word “osme,” meaning “smell,” due to the pungent odor produced by its volatile oxide. Osmium's extremely high density and resistance to corrosion make it valuable in scientific instruments and high-performance mechanical applications. However, osmium's high toxicity, particularly in its oxide form, limits its widespread use and requires special handling precautions. Despite this, it remains a critical component in precision technology and in certain industrial processes."
77,Iridium,Ir,192.217,6,9,Solid,fcc,Transition metal,0.63,1.9,2.2,8.967,"+4, +3",22.56,2716.15,4701,25,Smithson Tennant,1804,0.131,[Xe]6s2 4f14 5d7,6,9,"Iridium is a rare, dense, and corrosion-resistant metal that has numerous applications, particularly in the aerospace, automotive, and electronics industries. It is used in the production of spark plugs, where its high melting point and resistance to wear make it ideal for use in high-performance engines. Iridium is also used in the manufacture of electrical contacts, thermocouples, and in certain types of crucibles, where its resistance to high temperatures and corrosion is invaluable. Discovered in 1803 by Smithson Tennant, iridium was named after the Greek word “iris,” meaning rainbow, due to the wide range of colors its compounds can produce. Iridium is also used in the production of certain high-precision instruments, including those used in scientific research and space exploration. Its alloy with platinum is used in aircraft spark plugs, and its resistance to oxidation makes it ideal for use in high-temperature environments, such as in jet engines and catalytic converters. Iridium is considered one of the rarest elements on Earth, and its unique combination of hardness, corrosion resistance, and high melting point makes it indispensable in many advanced technologies."
78,Platinum,Pt,195.084,6,10,Solid,fcc,Transition metal,0.63,1.8,2.28,8.9587,"+4, +2",21.46,2045.15,4098,32,Antonio de Ulloa,1735,0.133,[Xe]6s1 4f14 5d9,6,10,"Platinum is a dense, malleable, and highly corrosion-resistant metal, making it a key element in many high-tech and industrial applications. It is used extensively in catalytic converters for automobiles, where it helps reduce harmful emissions by facilitating the conversion of carbon monoxide and hydrocarbons into less harmful substances. Platinum is also used in the jewelry industry due to its lustrous appearance and resistance to tarnishing. The metal is used in the production of various laboratory instruments, including those in the chemical and pharmaceutical industries. Discovered in the 16th century by early Spanish explorers, platinum was first formally recognized as a distinct metal in the 18th century. Its applications in electronics, medicine (especially in the form of platinum-based chemotherapy drugs), and petroleum refining have made it one of the most valuable metals in industry. Platinum is also employed in the production of hydrogen fuel cells, where its catalytic properties are essential for efficient energy conversion. The metal’s rarity and versatility in a range of high-tech fields ensure that it will continue to be in demand for the foreseeable future."
79,Gold,Au,196.966569,6,11,Solid,fcc,Transition metal,0.85,1.8,2.54,9.2255,"+3, +1",19.282,1337.73,3129,21,Prehistoric,,0.129,[Xe]6s1 4f14 5d10,6,11,"Gold is a highly sought-after precious metal known for its malleability, corrosion resistance, and aesthetic appeal. It has been used for thousands of years in coinage, jewelry, and as a store of wealth. Gold’s electrical conductivity makes it valuable in electronics, particularly in connectors, switches, and circuits that require reliable, long-lasting performance. It is also used in aerospace technology, where gold’s resistance to corrosion and its reflective properties help protect spacecraft from solar radiation. The element was used by ancient civilizations and it has retained its cultural and economic significance throughout history. Gold is often alloyed with other metals to improve its strength and durability, and it is used in various industrial applications, including dentistry, where it is used for crowns and fillings. Despite its extensive use in decorative items and currency, gold’s role in technology, particularly in electronics and space exploration, continues to grow. The metal’s stability, beauty, and scarcity have cemented its place as one of the most valuable and enduring elements in human history."
80,Mercury,Hg,200.59,6,12,Liquid,,Transition metal,1,1.8,2,10.4375,"+2, +1",13.5336,234.43,630,26,Prehistoric,,0.14,[Xe]6s2 4f14 5d10,6,12,"Mercury is a unique metal that is liquid at room temperature, making it the only metal to exist in this form under normal conditions. It is used in thermometers, barometers, and other scientific instruments due to its high density and ability to expand and contract uniformly with temperature changes. Mercury is also used in electrical switches and in the production of certain types of fluorescent lights. However, mercury is highly toxic, particularly in its vaporized form or when ingested, which has led to significant concerns about its environmental impact. Discovered in ancient times, mercury has been known since the days of the alchemists, who sought to transform it into gold. The metal’s toxicity has led to its gradual phase-out from many applications, particularly in consumer products. Mercury is still used in some specialized industrial processes, such as in the production of chlorine and caustic soda. Despite its toxicity, mercury’s unique physical properties make it valuable in certain high-precision applications, such as in thermometers and barometers."
81,Thallium,Tl,204.3833,6,13,Solid,hex,Post-transition metal,1.5,2.1,2.04,6.1082,"+3, +1",11.85,577.15,1746,28,William Crookes,1861,0.129,[Xe]6s2 4f14 5d10 6p1,6,13,"Thallium is a soft, gray, heavy metal that is highly toxic and has a variety of industrial applications. It was historically used in the production of rat poisons and insecticides due to its toxicity, though such uses have been largely discontinued in favor of safer alternatives. Thallium is also used in electronics, where it is used in semiconductors, particularly in the production of optoelectronic devices such as infrared detectors and lasers. The element was discovered in 1861 by William Crookes, who named it after the Greek word “thallos,” meaning ""green shoot,"" due to the green spectral line produced by thallium salts. Thallium compounds are still used in some specialized glass-making processes, particularly for high-index lenses and optical glasses. The element is also used in certain types of medical imaging, particularly in myocardial imaging where it helps diagnose heart conditions. Despite its toxic nature, thallium continues to have applications in advanced technologies, although strict safety precautions are required when handling the element."
82,Lead,Pb,207.2,6,14,Solid,fcc,Post-transition metal,1.2,1.8,2.33,7.4167,"+4, +2",11.342,600.75,2022,29,Prehistoric,,0.129,[Xe]6s2 4f14 5d10 6p2,6,14,"Lead is a heavy, malleable metal that has been known and used by humans for thousands of years. It is primarily used in the production of batteries, particularly lead-acid batteries, which are commonly found in vehicles and uninterruptible power supplies (UPS). Lead is also used in radiation shielding, due to its high density and ability to block various forms of radiation, making it essential in medical and nuclear industries. Historically, lead was used in pipes, paints, and gasoline, but due to its toxicity and harmful effects on human health, especially in children, its use has been significantly reduced in modern applications. The element was known to ancient civilizations, including the Egyptians and Romans, who used it in various everyday items. Lead’s toxicity can lead to lead poisoning, which affects the nervous system and can cause developmental delays in children. Despite these risks, lead continues to be used in certain applications, such as in some types of electronics, batteries, and as a material for soldering. Efforts to reduce lead exposure have led to the development of safer alternatives in many of its traditional uses."
83,Bismuth,Bi,208.9804,6,15,Solid,rho,Post-transition metal,1,1.6,2.02,7.2856,"+5, +3",9.807,544.67,1837,19,Claude François Geoffroy,1753,0.122,[Xe]6s2 4f14 5d10 6p3,6,15,"Bismuth is a brittle, silvery-white metal known for its low toxicity, making it a popular alternative to lead in many applications. It is primarily used in the production of pharmaceuticals, including antacids and medicines that treat digestive issues. Bismuth is also used in cosmetics and pigments, as its compounds have vibrant colors, and in alloys that are used for fire sprinkler systems and for creating low-melting-point solders. Discovered in the 15th century, bismuth was historically considered a byproduct of lead and tin production. Its unique properties make it a key element in ""green"" alternatives to lead-based materials. Bismuth is also used in the production of some types of superconductors and in certain advanced electronics. The element is relatively stable, and its compounds are often used in environmental applications due to their non-toxic nature compared to lead and mercury. Despite its rarity in the Earth’s crust, bismuth’s safety, versatility, and low environmental impact make it a valuable resource in modern industries."
84,Polonium,Po,210,6,16,Solid,cub,Metalloid,2.3,1.5,2,8.417,"+4, +2",9.32,527.15,1235,34,"Marie Curie, Pierre Curie",1898,,[Xe]6s2 4f14 5d10 6p4,6,16,"Polonium is a highly radioactive element that was discovered in 1898 by Marie and Pierre Curie, and it was named after Poland, Marie Curie's homeland. It is extremely rare and occurs naturally in trace amounts in uranium ores. Polonium has been used in applications that require a small, intense source of heat, such as in space probes, where its radioactive decay provides power in environments where solar energy is unavailable. Due to its high radioactivity, polonium is also a health hazard and has been used as a poison. The element has limited industrial applications because of its toxicity and radioactivity, and handling it requires specialized equipment. Despite its dangerous properties, polonium's intense radiation has made it useful in certain niche applications, such as in nuclear devices and as a trigger for nuclear explosions. Its extreme rarity and high radioactivity make polonium one of the most intriguing and dangerous elements known to science."
85,Astatine,At,210,6,17,Solid,,Halogen,,1.4,2.2,9.3,"7, 5, 3, 1, -1",7,575.15,610,21,Emilio Segrè,1940,,[Xe]6s2 4f14 5d10 6p5,6,17,"Astatine is a highly radioactive halogen that is incredibly rare in nature, with only trace amounts found in uranium and thorium ores. It is one of the rarest naturally occurring elements on Earth, and its name is derived from the Greek word ""astatos,"" meaning ""unstable,"" reflecting its radioactive nature. Astatine is so rare that it has only been produced in small amounts in laboratories. The element has very few practical applications due to its scarcity and radioactivity, though it has been studied for potential use in cancer treatment, particularly in targeted alpha-particle therapy. In this medical approach, astatine isotopes could be used to selectively deliver radiation to cancer cells, minimizing damage to surrounding healthy tissue. Astatine’s half-life is short, and its radioactive decay makes it highly hazardous to handle. Research into its potential therapeutic uses continues, although its extreme rarity and the technical challenges of working with it have limited its widespread application. Despite these challenges, astatine’s unique properties make it an interesting subject of study in the fields of nuclear chemistry and medical research."
86,Radon,Rn,222,6,18,Gas,,Noble gas,,1.3,,10.7485,0,0.00973,202.15,211.3,20,Friedrich Ernst Dorn,1900,0.094,[Xe]6s2 4f14 5d10 6p6,6,18,"Radon is a colorless, odorless, radioactive gas that occurs naturally as a decay product of uranium and thorium. It is commonly found in soil, rock, and groundwater and can seep into buildings, particularly in areas with high concentrations of uranium. Because radon is radioactive, it is a health hazard, with long-term exposure to high concentrations being linked to lung cancer. It is the second leading cause of lung cancer in non-smokers. Radon was discovered in 1899 by Friedrich Dorn, who initially identified it as an emanation from radium. The gas is invisible and undetectable without specialized equipment, making it difficult for people to identify its presence in their homes. Due to its potential health risks, many countries have implemented radon testing and mitigation programs to reduce exposure. Despite its dangers, radon has been used in medical treatments, particularly in the past for pain relief and cancer therapy, though safer alternatives are now available. Research into radon’s effects on human health and its potential uses continues, though minimizing exposure remains the priority."
87,Francium,Fr,223,7,1,Solid,bcc,Alkali metal,1.8,,0.7,4.0727,1,1.87,300.15,950,21,Marguerite Perey,1939,,[Rn]7s1,7,1,"Francium is one of the rarest and most unstable naturally occurring elements, with very few grams of it ever isolated. It is highly radioactive and has a half-life of only 22 minutes for its most stable isotope. Due to its extreme instability, francium has very limited practical applications, though it has been used in scientific research to study the properties of highly radioactive elements. Discovered in 1939 by Marguerite Perey, francium was named after France, where it was first identified. Francium is part of the alkali metal group and shares similar chemical properties with other alkali metals, such as sodium and potassium. However, due to its radioactivity and rarity, francium does not have the same industrial applications as other alkali metals. It is primarily used in laboratory settings to investigate nuclear decay and radiation. The element’s short half-life and rarity make it a challenge to study, but its presence in the periodic table provides valuable insight into the behavior of radioactive elements."
88,Radium,Ra,226,7,2,Solid,bcc,Alkaline earth metal,1.4,,0.9,5.2784,2,5.5,973.15,2010,15,"Marie Curie, Pierre Curie",1898,,[Rn]7s2,7,2,"Radium is a highly radioactive element that was discovered in 1898 by Marie and Pierre Curie. It was initially hailed as a medical miracle and was used in various treatments for conditions such as cancer and arthritis, though the dangers of its radioactivity were not fully understood at the time. Radium is a decay product of uranium and thorium, and it emits alpha particles, which were once thought to have therapeutic properties. However, the harmful effects of radium exposure, including radiation sickness and an increased risk of cancer, led to the discontinuation of its medical use. Radium was also used in the creation of luminous paints, which were applied to watch dials, aircraft instruments, and other items that needed to glow in the dark. The radioactive properties of radium made it extremely dangerous to handle, especially when workers in the early 20th century were exposed to its radiation without proper safety precautions. Today, radium’s use is strictly controlled, and it is primarily used in research related to nuclear physics. Despite its historical applications, radium’s high radioactivity and health risks make it a hazardous element in modern times."
89,Actinium,Ac,227,7,3,Solid,fcc,Actinide,1.1,,1.1,5.17,3,10.07,1323.15,3471,11,André-Louis Debierne,1899,0.12,[Rn]7s2 6d1,9,3,"Actinium is a highly radioactive metal that was discovered in 1899 by the German chemist Friedrich Oskar Giesel. It was named after the Greek word ""aktinos,"" meaning ""ray"" or ""beam,"" due to the intense radiation it emits. Actinium is one of the first elements in the actinide series and is commonly used in research related to nuclear science. It has a variety of applications in radiation therapy, particularly in targeted cancer treatments, where its radioactivity can be harnessed to destroy cancer cells. Actinium is also used in the production of neutrons in nuclear reactors, and it plays a role in nuclear technology as a neutron source. The element's high radioactivity makes it extremely dangerous to handle, requiring special precautions in laboratory settings. Due to its scarcity and the difficulty in isolating it, actinium does not have widespread industrial uses, but it remains valuable in scientific research and experimental applications. Its unique properties continue to make it a subject of interest in nuclear physics and chemistry."
90,Thorium,Th,232.03806,7,19,Solid,fcc,Actinide,0.97,,1.3,6.3067,4,11.72,2028.15,5061,12,Jöns Jacob Berzelius,1828,0.113,[Rn]7s2 6d2,9,4,"Thorium is a radioactive actinide metal that has garnered attention for its potential as a safer and more efficient alternative to uranium in nuclear reactors. It was discovered in 1828 by the Swedish chemist Jöns Jacob Berzelius. Thorium is much more abundant than uranium and can be used as a nuclear fuel in the form of thorium-232, which is fertile rather than fissile. When used in reactors, thorium can be converted into uranium-233, which can sustain a nuclear reaction. One of thorium's key advantages over uranium is that it produces less long-lived nuclear waste and is less likely to be used in the production of nuclear weapons. Thorium-based reactors also operate at lower pressures, which could enhance reactor safety. Despite these benefits, the use of thorium in commercial nuclear reactors is not widespread, as it requires a significant overhaul of existing reactor designs and infrastructure. Nonetheless, thorium is viewed as a potential alternative fuel source for the future of nuclear energy, particularly as research into thorium reactors continues to advance."
91,Protactinium,Pa,231.03588,7,20,Solid,orth,Actinide,0.78,,1.5,5.89,"+5, +4",15.37,1873.15,4300,14,"Kazimierz Fajans, Oswald Helmuth Göhring",1917,,[Rn]7s2 5f2 6d1,9,5,"Protactinium is a rare, radioactive actinide metal that was discovered in 1899 by Kasimir Fajans and Otto Gohring. It was named after the Greek word ""protos,"" meaning ""first,"" because it was an intermediate decay product in the uranium decay series. Protactinium is one of the less well-known elements and has few practical applications due to its scarcity and high radioactivity. However, it is of interest in nuclear chemistry and physics research, particularly in the study of nuclear decay and the behavior of actinide elements. Protactinium is also used in certain types of nuclear reactors, where it can contribute to the production of fissile material. It is highly toxic and radioactive, making its handling difficult and requiring special safety precautions. Because of its scarcity and the challenges involved in isolating and working with it, protactinium does not have widespread industrial uses, but it remains an important subject of study for researchers exploring the properties and behavior of radioactive elements."
92,Uranium,U,238.02891,7,21,Solid,orth,Actinide,0.52,,1.38,6.1941,"+6, +5, +4, +3",18.95,1405.15,4404,15,Martin Heinrich Klaproth,1841,0.116,[Rn]7s2 5f3 6d1,9,6,"Uranium is a heavy, radioactive metal that is most well-known for its use as fuel in nuclear reactors and in the development of nuclear weapons. It was discovered in 1789 by Martin Heinrich Klaproth and was named after the planet Uranus. Uranium is the heaviest naturally occurring element and is highly radioactive, with uranium-238 being the most common isotope found in nature. The element is primarily used as a fuel in nuclear reactors, where uranium-235, a fissile isotope, undergoes nuclear fission to produce energy. Uranium’s radioactive decay also produces heat, which can be harnessed for power generation. The discovery of uranium revolutionized energy production and weapons development, particularly in the mid-20th century. Uranium’s use in nuclear energy has sparked both scientific and political debates, with concerns about safety, waste disposal, and the potential for nuclear proliferation. Despite its risks, uranium remains a key element in the global energy landscape, particularly in countries that rely on nuclear power."
93,Neptunium,Np,237,7,22,Solid,orth,Actinide,0.75,,1.36,6.2657,"+6, +5, +4, +3",20.45,913.15,4273,153,"Edwin McMillan, Philip Abelson",1940,,[Rn]7s2 5f4 6d1,9,7,"Neptunium is a radioactive actinide element that was discovered in 1940 by Glenn T. Seaborg and Albert Ghiorso. It was the first transuranium element, meaning it is heavier than uranium, and was named after the planet Neptune, following the tradition of naming elements after planets. Neptunium is produced artificially in nuclear reactors through the irradiation of uranium. Its most significant isotope, neptunium-239, is used as a precursor in the production of plutonium-239, which is used in nuclear weapons and reactors. Neptunium’s role in the nuclear fuel cycle has made it an important element in the field of nuclear energy, though it does not have significant applications outside of research and nuclear technology. The element is highly radioactive and has a relatively short half-life, making it dangerous to handle. Neptunium has few practical applications due to its scarcity and radioactivity, but it is an important intermediate product in nuclear chemistry and in the study of transuranium elements."
94,Plutonium,Pu,244,7,23,Solid,mno,Actinide,0.89,,1.28,6.0262,"+6, +5, +4, +3",19.84,913.15,3501,163,"Glenn T. Seaborg, Edwin McMillan, Arthur Wahl, Joseph W. Kennedy",1940,,[Rn]7s2 5f6,9,8,"Plutonium is a radioactive actinide metal that was discovered in 1940 by Glenn T. Seaborg and Arthur Wahl. It was named after the planet Pluto, following the naming convention of planetary elements. Plutonium is primarily used as a fuel in nuclear reactors and in the production of nuclear weapons. The isotope plutonium-239 is particularly important because it is fissile, meaning it can sustain a chain reaction when exposed to neutrons. Plutonium’s discovery marked a significant milestone in nuclear chemistry and had far-reaching implications, particularly in the development of the atomic bomb. In addition to its use in weapons, plutonium-238 is used as a heat source for spacecraft, such as in radioisotope thermoelectric generators. Despite its uses, plutonium is highly toxic and radioactive, making it a major concern for nuclear safety, waste disposal, and environmental contamination. Its production, handling, and disposal are heavily regulated, and it remains a topic of both scientific research and political debate."
95,Americium,Am,243,7,24,Solid,hex,Actinide,0.98,,1.3,5.9738,"+6, +5, +4, +3",13.69,1267.15,2880,133,"Glenn T. Seaborg, Albert Ghiorso, Ralph A. James",1944,,[Rn]7s2 5f7,9,9,"Americium is a synthetic, radioactive actinide element that was first synthesized in 1944 by Glenn T. Seaborg and colleagues. It was named after the continent of America, following the tradition of naming elements after places (such as europium for Europe). Americium is best known for its use in smoke detectors, where the isotope americium-241 emits alpha particles that ionize the air in the detection chamber. This allows the detector to detect smoke particles that disrupt the ionization process, triggering an alarm. Americium-241 is also used in some types of radiation therapy, as its radiation can be used to target cancer cells. Due to its radioactivity, handling americium requires strict safety protocols to prevent exposure. Americium is produced in nuclear reactors through the irradiation of plutonium. It is one of the few elements that can be readily produced in small amounts for specific applications, although its use is highly regulated due to its radioactive properties. While it has limited industrial applications, its role in nuclear science and safety technologies is invaluable."
96,Curium,Cm,247,7,25,Solid,hex,Actinide,0.97,,1.3,5.9915,3,13.51,1340.15,3383,133,"Glenn T. Seaborg, Ralph A. James",1944,,[Rn]7s2 5f7 6d1,9,10,"Curium is a radioactive actinide metal that was discovered in 1944 by Albert Ghiorso, Glenn T. Seaborg, and Ralph A. James, and named in honor of Marie and Pierre Curie. Curium was the first transuranium element to be synthesized in significant quantities, and it was produced in the process of irradiating plutonium with neutrons. Curium has a range of isotopes, but curium-242 and curium-244 are the most significant. It is used in some nuclear reactors and has been studied for use in future nuclear power generation technologies, including in radioisotope thermoelectric generators that provide power for spacecraft. Curium's role in scientific research is primarily focused on its nuclear properties and its applications in understanding the behavior of actinides in nuclear reactions. The element is highly radioactive, making it dangerous to handle without specialized equipment, and is usually produced in small quantities. Though it has no widespread commercial applications due to its scarcity and radioactivity, curium is crucial in the study of nuclear reactions and the development of nuclear technologies."
97,Berkelium,Bk,247,7,26,Solid,hex,Actinide,0.95,,1.3,6.1979,"+4, +3",14.79,1259.15,983,83,"Glenn T. Seaborg, Albert Ghiorso",1949,,[Rn]7s2 5f9,9,11,"Berkelium is a synthetic, radioactive actinide element that was discovered in 1949 by Glenn T. Seaborg and his team at the University of California, Berkeley, where it was named after the university. It is produced by bombarding americium-241 with alpha particles. Berkelium is primarily used in nuclear research and is not found in nature, but is instead synthesized in small amounts in nuclear reactors or particle accelerators. The element has no significant industrial applications due to its scarcity and high radioactivity, but it plays a role in studying nuclear reactions and transuranium elements. Berkelium’s most notable isotopes are berkelium-249 and berkelium-247, which are used in experimental studies to explore nuclear properties and the behavior of heavy elements. The element is highly radioactive, and handling it requires special precautions to prevent exposure. While berkelium does not have significant practical uses outside of research, its discovery contributed to the development of the periodic table and the understanding of the actinide series."
98,Californium,Cf,251,7,27,Solid,hex,Actinide,0.93,,1.3,6.2817,3,15.1,1925.15,1173,123,"Glenn T. Seaborg, Albert Ghiorso",1950,,[Rn]7s2 5f10,9,12,"Californium is a radioactive actinide element discovered in 1950 by Albert Ghiorso, Glenn T. Seaborg, and others at the University of California, Berkeley. It was named after California, in honor of the university where it was first synthesized. Californium is produced by bombarding curium with neutrons and has several isotopes, with californium-252 being the most notable. Californium-252 is a strong neutron emitter and is used in neutron radiography, a non-destructive testing technique, as well as in neutron sources for research and medicine. The element is also used in some types of nuclear reactors, where it can act as a neutron source to start or sustain nuclear reactions. Californium is extremely rare and expensive to produce, making it mainly useful for specialized applications, particularly in scientific research and nuclear technologies. Its radioactivity and rarity limit its widespread use, but its neutron-emitting properties make it valuable in nuclear science and medical applications. Californium has also been considered for use in future nuclear reactors as a neutron initiator or for creating fuel for advanced reactors."
99,Einsteinium,Es,252,7,28,Solid,hex,Actinide,,,1.3,6.42,3,13.5,1133.15,,123,"Glenn T. Seaborg, Albert Ghiorso",1952,,[Rn]7s2 5f11,9,13,"Einsteinium is a synthetic, radioactive actinide element that was discovered in 1952 as a result of the first hydrogen bomb explosion. It was named after physicist Albert Einstein in recognition of his contributions to science, particularly in the field of nuclear physics. Einsteinium is produced by bombarding plutonium with neutrons in a nuclear reactor, and its most stable isotope, einsteinium-253, has a half-life of about 20 days. Due to its high radioactivity and scarcity, einsteinium has few practical applications outside of research, but it is used to study the behavior of heavy elements and nuclear reactions. Einsteinium is sometimes used as a source of neutrons in scientific experiments, and its isotopes have been investigated for use in nuclear reactors and space applications. However, its rarity and extreme radioactivity make it difficult to handle and limit its use in any commercial or medical applications. Einsteinium’s main contribution to science is in furthering the study of the actinide series and understanding nuclear processes."
100,Fermium,Fm,257,7,29,Solid,,Actinide,,,1.3,6.5,3,,,,103,"Glenn T. Seaborg, Albert Ghiorso",1953,,[Rn] 5f12 7s2,9,14,"Fermium is a synthetic, highly radioactive element that was discovered in 1952 by a team of scientists involved in the hydrogen bomb tests. It was named in honor of Enrico Fermi, one of the pioneers of nuclear physics. Fermium is produced by bombarding lighter elements such as uranium or plutonium with neutrons in a nuclear reactor or particle accelerator. Fermium has no practical applications outside of scientific research, and it is used primarily in the study of nuclear reactions and the synthesis of heavier elements. Fermium’s most stable isotope, fermium-257, has a half-life of approximately 100 days. It is an important part of the actinide series and is typically used in laboratory settings to investigate nuclear properties and understand the behavior of superheavy elements. Due to its rarity and the difficulty of isolating it, fermium does not have any significant industrial applications, but it remains valuable in advancing nuclear science. Its discovery and study helped extend the understanding of the nuclear structure and the synthesis of elements beyond uranium."
101,Mendelevium,Md,258,7,30,Solid,,Actinide,,,1.3,6.58,"+3, +2",,,,33,Glenn T. Seaborg,1955,,[Rn]7s2 5f13,9,15,"Mendelevium is a synthetic, highly radioactive element named after Dmitri Mendeleev, the Russian chemist who created the periodic table. It was first synthesized in 1955 by Albert Ghiorso, Glenn T. Seaborg, and their team at the University of California, Berkeley. Mendelevium is produced by bombarding einsteinium with alpha particles. This element has no significant commercial or industrial applications, and it is primarily used in nuclear research. Mendelevium's most stable isotope, mendelevium-258, has a half-life of around 51.5 days. The element is used to study the chemistry of the actinide series and to create heavier elements. Due to its extreme rarity, high radioactivity, and short half-life, mendelevium is not used in practical applications but plays a crucial role in the advancement of nuclear chemistry and atomic research. Mendelevium’s synthesis and study are important steps in the exploration of superheavy elements and their properties."
